id,speed
0,48.56882856
1,47.67703774
2,37.0353655
3,32.35201885
4,36.22019768
5,28.03515701
6,18.6933391
7,48.73929278
8,47.92776842
9,29.0666346
10,27.70900676
11,24.99463839
12,25.16282324
13,24.698465
14,26.19351516
15,39.00936846
16,39.528798
17,44.42718648
18,48.43915048
19,47.74934381
20,46.80036662
21,44.48667929
22,17.48004892
23,24.48713908
24,24.53486181
25,21.49591201
26,21.29607358
27,19.2038327
28,14.34003274
29,13.91354564
30,27.69898735
31,46.48097504
32,48.73344348
33,27.49104933
34,22.06574862
35,21.73128305
36,19.00672066
37,19.37386021
38,45.50776212
39,35.51067708
40,42.6598916
41,47.43154817
42,48.22948181
43,44.45361583
44,18.1642004
45,19.95889307
46,21.76727192
47,11.85847664
48,43.20581548
49,49.22687995
50,48.66898421
51,20.92583519
52,20.98340229
53,19.18830198
54,19.41585692
55,19.29742071
56,17.60125628
57,17.51810949
58,29.51308648
59,35.35291956
60,41.67311438
61,41.45064287
62,41.81904901
63,42.04782368
64,44.0026278
65,47.99220115
66,47.59834474
67,46.00441119
68,44.06916627
69,27.81756335
70,18.23675296
71,18.01120707
72,15.44654558
73,15.35990831
74,15.09149524
75,9.018934906
76,44.16509634
77,37.70835488
78,40.3825525
79,46.724635
80,14.46794045
81,17.99587756
82,21.17886557
83,17.44247949
84,18.59431148
85,12.89729012
86,21.83305436
87,37.69523375
88,44.76730765
89,40.9886665
90,48.73571872
91,47.37822539
92,47.04272518
93,46.91677047
94,29.86159626
95,16.55100505
96,25.8018315
97,13.90830513
98,13.33141823
99,24.51060253
100,41.16602374
101,48.18520556
102,14.69121095
103,13.56177527
104,12.68773923
105,43.43402683
106,36.07954427
107,48.45574173
108,44.23302568
109,14.89778869
110,11.76755397
111,11.51553481
112,24.80004922
113,37.04342748
114,41.77805403
115,48.89312894
116,48.35364145
117,40.29554557
118,29.56558155
119,25.65776907
120,21.05212509
121,16.92295339
122,35.15350079
123,46.42334167
124,46.18857664
125,42.54571918
126,42.04099111
127,35.95762274
128,42.51646078
129,39.14004272
130,47.29264983
131,47.12948161
132,47.02929961
133,26.24552904
134,22.10978019
135,22.21236109
136,38.90113187
137,44.60516741
138,48.02445526
139,47.48487696
